route_id,network_id
1,cta_bus
2,cta_bus
3,cta_bus
4,cta_bus
X4,cta_bus
5,cta_bus
6,cta_bus
7,cta_bus
8,cta_bus
8A,cta_bus
9,cta_bus
X9,cta_bus
10,cta_bus
11,cta_bus
12,cta_bus
J14,cta_bus
15,cta_bus
18,cta_bus
20,cta_bus
21,cta_bus
22,cta_bus
24,cta_bus
26,cta_bus
28,cta_bus
29,cta_bus
31,cta_bus
30,cta_bus
34,cta_bus
35,cta_bus
36,cta_bus
37,cta_bus
39,cta_bus
43,cta_bus
44,cta_bus
47,cta_bus
48,cta_bus
49,cta_bus
49B,cta_bus
X49,cta_bus
50,cta_bus
51,cta_bus
52,cta_bus
52A,cta_bus
53,cta_bus
53A,cta_bus
54,cta_bus
54A,cta_bus
54B,cta_bus
55,cta_bus
55A,cta_bus
55N,cta_bus
56,cta_bus
57,cta_bus
59,cta_bus
60,cta_bus
62,cta_bus
62H,cta_bus
63,cta_bus
63W,cta_bus
65,cta_bus
66,cta_bus
67,cta_bus
68,cta_bus
70,cta_bus
71,cta_bus
72,cta_bus
73,cta_bus
74,cta_bus
75,cta_bus
76,cta_bus
77,cta_bus
78,cta_bus
79,cta_bus
80,cta_bus
81,cta_bus
81W,cta_bus
82,cta_bus
84,cta_bus
95,cta_bus
85,cta_bus
85A,cta_bus
86,cta_bus
87,cta_bus
88,cta_bus
90,cta_bus
91,cta_bus
92,cta_bus
93,cta_bus
94,cta_bus
96,cta_bus
97,cta_bus
100,cta_bus
103,cta_bus
106,cta_bus
108,cta_bus
111,cta_bus
111A,cta_bus
112,cta_bus
115,cta_bus
119,cta_bus
120,cta_bus
121,cta_bus
124,cta_bus
125,cta_bus
126,cta_bus
130,cta_bus
134,cta_bus
135,cta_bus
136,cta_bus
143,cta_bus
146,cta_bus
147,cta_bus
148,cta_bus
151,cta_bus
152,cta_bus
155,cta_bus
156,cta_bus
157,cta_bus
165,cta_bus
169,cta_bus
171,cta_bus
172,cta_bus
192,cta_bus
201,cta_bus
206,cta_bus
Red,cta_rail
P,cta_rail
Y,cta_rail
Blue,cta_rail
Pink,cta_rail
G,cta_rail
Org,cta_rail
Brn,cta_rail
